ac,eng,mass,distance,fuel
e195,CFM56-5-A1,47760,2152,5090
e195,CFM56-5-A1,47760,2431,5730
e195,CFM56-5-A1,47760,2710,6340
e195,CFM56-5-A1,48600,1594,3830
e195,CFM56-5-A1,48600,1873,4490
e195,CFM56-5-A1,48600,2152,5130
e195,CFM56-5-A1,48600,2431,5750
e195,CFM56-5-A1,48600,2710,6390
e195,CFM56-5-A1,49440,2152,5160
e195,CFM56-5-A1,49440,2431,5790
e195,CFM56-5-A1,49440,2710,6410
e195,CFM56-5-A1,50280,2431,5830
e195,CFM56-5-A1,50280,2710,6460
e195,CFM56-5-A1,34300,478,1040
e195,CFM56-5-A1,34300,757,1600
e195,CFM56-5-A1,34300,1036,2170
e195,CFM56-5-A1,34300,1315,2730
e195,CFM56-5-A1,34300,1594,3290
e195,CFM56-5-A1,34300,1873,3850
e195,CFM56-5-A1,34300,2152,4410
e195,CFM56-5-A1,34300,2431,4960
e195,CFM56-5-A1,34300,2710,5500
e195,CFM56-5-A1,35140,478,1050
e195,CFM56-5-A1,35140,757,1620
e195,CFM56-5-A1,35140,1036,2180
e195,CFM56-5-A1,35140,1315,2750
e195,CFM56-5-A1,35140,1594,3320
e195,CFM56-5-A1,35140,1873,3880
e195,CFM56-5-A1,35140,2152,4440
e195,CFM56-5-A1,35140,2431,4990
e195,CFM56-5-A1,35140,2710,5540
e195,CFM56-5-A1,35980,478,1050
e195,CFM56-5-A1,35980,757,1630
e195,CFM56-5-A1,35980,1036,2200
e195,CFM56-5-A1,35980,1315,2770
e195,CFM56-5-A1,35980,1594,3340
e195,CFM56-5-A1,35980,1873,3910
e195,CFM56-5-A1,35980,2152,4470
e195,CFM56-5-A1,35980,2431,5030
e195,CFM56-5-A1,35980,2710,5590
e195,CFM56-5-A1,36820,478,1060
e195,CFM56-5-A1,36820,757,1640
e195,CFM56-5-A1,36820,1036,2220
e195,CFM56-5-A1,36820,1315,2790
e195,CFM56-5-A1,36820,1594,3370
e195,CFM56-5-A1,36820,1873,3940
e195,CFM56-5-A1,36820,2152,4510
e195,CFM56-5-A1,36820,2431,5070
e195,CFM56-5-A1,36820,2710,5630
e195,CFM56-5-A1,37660,757,1650
e195,CFM56-5-A1,37660,1036,2240
e195,CFM56-5-A1,37660,1315,2820
e195,CFM56-5-A1,37660,1594,3400
e195,CFM56-5-A1,37660,1873,3970
e195,CFM56-5-A1,37660,2152,4550
e195,CFM56-5-A1,37660,2431,5110
e195,CFM56-5-A1,37660,2710,5680
e195,CFM56-5-A1,38510,757,1660
e195,CFM56-5-A1,38510,1036,2250
e195,CFM56-5-A1,38510,1315,2840
e195,CFM56-5-A1,38510,1594,3420
e195,CFM56-5-A1,38510,1873,4000
e195,CFM56-5-A1,38510,2152,4580
e195,CFM56-5-A1,38510,2431,5160
e195,CFM56-5-A1,38510,2710,5740
e195,CFM56-5-A1,39350,757,1680
e195,CFM56-5-A1,39350,1036,2270
e195,CFM56-5-A1,39350,1315,2860
e195,CFM56-5-A1,39350,1594,3450
e195,CFM56-5-A1,39350,1873,4040
e195,CFM56-5-A1,39350,2152,4620
e195,CFM56-5-A1,39350,2431,5200
e195,CFM56-5-A1,39350,2710,5790
e195,CFM56-5-A1,40190,757,1760
e195,CFM56-5-A1,40190,1036,2290
e195,CFM56-5-A1,40190,1315,2890
e195,CFM56-5-A1,40190,1594,3480
e195,CFM56-5-A1,40190,1873,4070
e195,CFM56-5-A1,40190,2152,4670
e195,CFM56-5-A1,40190,2431,5250
e195,CFM56-5-A1,40190,2710,5850
e195,CFM56-5-A1,41030,757,1700
e195,CFM56-5-A1,41030,1036,2310
e195,CFM56-5-A1,41030,1315,2910
e195,CFM56-5-A1,41030,1594,3510
e195,CFM56-5-A1,41030,1873,4110
e195,CFM56-5-A1,41030,2152,4710
e195,CFM56-5-A1,41030,2431,5300
e195,CFM56-5-A1,41030,2710,5900
e195,CFM56-5-A1,41870,757,1720
e195,CFM56-5-A1,41870,1036,2330
e195,CFM56-5-A1,41870,1315,2940
e195,CFM56-5-A1,41870,1594,3550
e195,CFM56-5-A1,41870,1873,4150
e195,CFM56-5-A1,41870,2152,4760
e195,CFM56-5-A1,41870,2431,5360
e195,CFM56-5-A1,41870,2710,5960
e195,CFM56-5-A1,42710,757,1730
e195,CFM56-5-A1,42710,1036,2350
e195,CFM56-5-A1,42710,1315,2970
e195,CFM56-5-A1,42710,1594,3580
e195,CFM56-5-A1,42710,1873,4190
e195,CFM56-5-A1,42710,2152,4810
e195,CFM56-5-A1,42710,2431,5420
e195,CFM56-5-A1,42710,2710,6010
e195,CFM56-5-A1,43550,1036,2370
e195,CFM56-5-A1,43550,1315,3000
e195,CFM56-5-A1,43550,1594,3620
e195,CFM56-5-A1,43550,1873,4240
e195,CFM56-5-A1,43550,2152,4860
e195,CFM56-5-A1,43550,2431,5480
e195,CFM56-5-A1,43550,2710,6070
e195,CFM56-5-A1,44390,1036,2400
e195,CFM56-5-A1,44390,1315,3040
e195,CFM56-5-A1,44390,1594,3660
e195,CFM56-5-A1,44390,1873,4290
e195,CFM56-5-A1,44390,2152,4920
e195,CFM56-5-A1,44390,2431,5530
e195,CFM56-5-A1,44390,2710,6120
e195,CFM56-5-A1,45230,1315,3070
e195,CFM56-5-A1,45230,1594,3710
e195,CFM56-5-A1,45230,1873,4340
e195,CFM56-5-A1,45230,2152,4970
e195,CFM56-5-A1,45230,2431,5590
e195,CFM56-5-A1,45230,2710,6180
e195,CFM56-5-A1,46080,1315,3120
e195,CFM56-5-A1,46080,1594,3750
e195,CFM56-5-A1,46080,1873,4390
e195,CFM56-5-A1,46080,2152,5010
e195,CFM56-5-A1,46080,2431,5640
e195,CFM56-5-A1,46080,2710,6240
e195,CFM56-5-A1,46920,1315,3130
e195,CFM56-5-A1,46920,1594,3780
e195,CFM56-5-A1,46920,1873,4420
e195,CFM56-5-A1,46920,2152,5060
e195,CFM56-5-A1,46920,2431,5680
e195,CFM56-5-A1,46920,2710,6290
e195,CFM56-5-A1,47760,1315,3150
e195,CFM56-5-A1,47760,1594,3800
e195,CFM56-5-A1,47760,1873,4450
e195,CFM56-5-A1,47760,2152,5090
e195,CFM56-5-A1,47760,2431,5730
e195,CFM56-5-A1,47760,2710,6340
e195,CFM56-5-A1,48600,1594,3830
e195,CFM56-5-A1,48600,1873,4490
e195,CFM56-5-A1,48600,2152,5130
e195,CFM56-5-A1,48600,2431,5750
e195,CFM56-5-A1,48600,2710,6390
e195,CFM56-5-A1,49440,2152,5160
e195,CFM56-5-A1,49440,2431,5790
e195,CFM56-5-A1,49440,2710,6410
e195,CFM56-5-A1,50280,2431,5830
e195,CFM56-5-A1,50280,2710,6460
e195,CFM56-5A3,34300,478,1050
e195,CFM56-5A3,34300,757,1630
e195,CFM56-5A3,34300,1036,2200
e195,CFM56-5A3,34300,1315,2770
e195,CFM56-5A3,34300,1594,3340
e195,CFM56-5A3,34300,1873,3910
