ac,eng,mass,distance,fuel,time
e145,CFM56-5-A1,17200,478,710,36
e145,CFM56-5-A1,17200,757,1110,58
e145,CFM56-5-A1,17200,1036,1510,79
e145,CFM56-5-A1,17200,1315,1900,101
e145,CFM56-5-A1,17200,1594,2300,122
e145,CFM56-5-A1,17200,1873,2690,144
e145,CFM56-5-A1,17200,2152,3090,166
e145,CFM56-5-A1,17200,2431,3470,188
e145,CFM56-5-A1,17200,2710,3860,209
e145,CFM56-5-A1,17580,478,710,36
e145,CFM56-5-A1,17580,757,1110,58
e145,CFM56-5-A1,17580,1036,1510,79
e145,CFM56-5-A1,17580,1315,1910,101
e145,CFM56-5-A1,17580,1594,2310,122
e145,CFM56-5-A1,17580,1873,2700,144
e145,CFM56-5-A1,17580,2152,3100,166
e145,CFM56-5-A1,17580,2431,3480,188
e145,CFM56-5-A1,17580,2710,3870,209
e145,CFM56-5-A1,17970,478,710,36
e145,CFM56-5-A1,17970,757,1110,58
e145,CFM56-5-A1,17970,1036,1520,79
e145,CFM56-5-A1,17970,1315,1920,101
e145,CFM56-5-A1,17970,1594,2310,122
e145,CFM56-5-A1,17970,1873,2710,144
e145,CFM56-5-A1,17970,2152,3110,166
e145,CFM56-5-A1,17970,2431,3500,187
e145,CFM56-5-A1,17970,2710,3890,209
e145,CFM56-5-A1,18350,478,710,36
e145,CFM56-5-A1,18350,757,1120,57
e145,CFM56-5-A1,18350,1315,1920,101
e145,CFM56-5-A1,18350,1594,2320,122
e145,CFM56-5-A1,18350,1873,2720,144
e145,CFM56-5-A1,18350,2152,3120,166
e145,CFM56-5-A1,18350,2431,3510,187
e145,CFM56-5-A1,18350,2710,3900,209
e145,CFM56-5-A1,18730,478,720,36
e145,CFM56-5-A1,18730,757,1120,57
e145,CFM56-5-A1,18730,1036,1530,79
e145,CFM56-5-A1,18730,1315,1930,101
e145,CFM56-5-A1,18730,1594,2330,122
e145,CFM56-5-A1,18730,1873,2730,144
e145,CFM56-5-A1,18730,2152,3130,166
e145,CFM56-5-A1,18730,2431,3520,187
e145,CFM56-5-A1,18730,2710,3920,209
e145,CFM56-5-A1,19110,478,720,36
e145,CFM56-5-A1,19110,757,1130,57
e145,CFM56-5-A1,19110,1036,1530,79
e145,CFM56-5-A1,19110,1315,1940,100
e145,CFM56-5-A1,19110,1594,2340,122
e145,CFM56-5-A1,19110,1873,2750,143
e145,CFM56-5-A1,19110,2152,3150,165
e145,CFM56-5-A1,19110,2431,3540,187
e145,CFM56-5-A1,19110,2710,3930,208
e145,CFM56-5-A1,19490,478,720,36
e145,CFM56-5-A1,19490,757,1130,57
e145,CFM56-5-A1,19490,1036,1540,79
e145,CFM56-5-A1,19490,1315,1940,100
e145,CFM56-5-A1,19490,1594,2350,121
e145,CFM56-5-A1,19490,1873,2760,143
e145,CFM56-5-A1,19490,2152,3160,165
e145,CFM56-5-A1,19490,2431,3550,186
e145,CFM56-5-A1,19490,2710,3950,208
e145,CFM56-5-A1,19870,478,720,36
e145,CFM56-5-A1,19870,757,1130,57
e145,CFM56-5-A1,19870,1315,1950,99
e145,CFM56-5-A1,19870,1594,2360,121
e145,CFM56-5-A1,19870,1873,2770,142
e145,CFM56-5-A1,19870,2152,3170,164
e145,CFM56-5-A1,19870,2431,3570,186
e145,CFM56-5-A1,19870,2710,3960,208
e145,CFM56-5-A1,20250,1036,1550,78
e145,CFM56-5-A1,20250,1315,1960,99
e145,CFM56-5-A1,20250,1594,2370,121
e145,CFM56-5-A1,20250,1873,2780,142
e145,CFM56-5-A1,20250,2152,3180,164
e145,CFM56-5-A1,20250,2431,3580,185
e145,CFM56-5-A1,20250,2710,3980,207
e145,CFM56-5-A1,20640,1315,1960,99
e145,CFM56-5-A1,20640,1594,2380,120
e145,CFM56-5-A1,20640,1873,2790,142
e145,CFM56-5-A1,20640,2152,3190,163
e145,CFM56-5-A1,20640,2431,3590,185
e145,CFM56-5-A1,20640,2710,3990,207
e145,CFM56-5-A1,21020,1315,1970,98
e145,CFM56-5-A1,21020,1594,2380,120
e145,CFM56-5-A1,21020,1873,2800,141
e145,CFM56-5-A1,21020,2152,3200,163
e145,CFM56-5-A1,21020,2431,3610,184
e145,CFM56-5-A1,21020,2710,4010,206
e145,CFM56-5-A1,21400,1594,2390,120
e145,CFM56-5-A1,21400,1873,2800,141
e145,CFM56-5-A1,21400,2152,3210,162
e145,CFM56-5-A1,21400,2431,3620,185
e145,CFM56-5-A1,21400,2710,4020,206
e145,CFM56-5-A1,21780,1873,2810,141
e145,CFM56-5-A1,21780,2152,3220,162
e145,CFM56-5-A1,21780,2431,3630,184
e145,CFM56-5-A1,21780,2710,4030,205
e145,CFM56-5-A1,14530,478,700,36
e145,CFM56-5-A1,14530,757,1090,58
e145,CFM56-5-A1,14530,1036,1470,79
e145,CFM56-5-A1,14530,1315,1860,101
e145,CFM56-5-A1,14530,1594,2250,122
e145,CFM56-5-A1,14910,478,700,36
e145,CFM56-5-A1,14910,757,1090,58
e145,CFM56-5-A1,14910,1036,1480,79
e145,CFM56-5-A1,14910,1315,1870,101
e145,CFM56-5-A1,14910,1594,2250,122
e145,CFM56-5-A1,14910,1873,2640,144
e145,CFM56-5-A1,15290,478,700,36
e145,CFM56-5-A1,15290,757,1090,58
e145,CFM56-5-A1,15290,1036,1480,79
e145,CFM56-5-A1,15290,1315,1870,101
e145,CFM56-5-A1,15290,1594,2260,122
e145,CFM56-5-A1,15290,1873,2650,144
e145,CFM56-5-A1,15290,2152,3030,166
e145,CFM56-5-A1,15680,478,700,36
e145,CFM56-5-A1,15680,757,1090,58
e145,CFM56-5-A1,15680,1036,1490,79
e145,CFM56-5-A1,15680,1315,1880,101
e145,CFM56-5-A1,15680,1594,2270,122
e145,CFM56-5-A1,15680,1873,2660,144
e145,CFM56-5-A1,15680,2152,3040,166
e145,CFM56-5-A1,15680,2431,3430,188
e145,CFM56-5-A1,16060,478,700,36
e145,CFM56-5-A1,16060,757,1100,58
e145,CFM56-5-A1,16060,1036,1490,79
e145,CFM56-5-A1,16060,1315,1880,101
e145,CFM56-5-A1,16060,1594,2280,122
e145,CFM56-5-A1,16060,1873,2670,144
e145,CFM56-5-A1,16060,2152,3050,166
e145,CFM56-5-A1,16060,2431,3440,188
e145,CFM56-5-A1,16060,2710,3820,210
e145,CFM56-5-A1,16440,478,710,36
e145,CFM56-5-A1,16440,757,1100,58
e145,CFM56-5-A1,16440,1036,1500,79
e145,CFM56-5-A1,16440,1315,1890,101
e145,CFM56-5-A1,16440,1594,2280,122
e145,CFM56-5-A1,16440,1873,2670,144
e145,CFM56-5-A1,16440,2152,3060,166
e145,CFM56-5-A1,16440,2431,3450,188
e145,CFM56-5-A1,16440,2710,3830,210
e145,CFM56-5-A1,16820,478,710,36
e145,CFM56-5-A1,16820,757,1100,58
e145,CFM56-5-A1,16820,1036,1500,79
e145,CFM56-5-A1,16820,1315,1900,101
e145,CFM56-5-A1,16820,1594,2290,122
e145,CFM56-5-A1,16820,1873,2680,144
e145,CFM56-5-A1,16820,2152,3070,166
e145,CFM56-5-A1,16820,2431,3460,188
e145,CFM56-5-A1,16820,2710,3850,209
e145,CFM56-5-A1,17200,478,710,36
e145,CFM56-5-A1,17200,757,1110,58
e145,CFM56-5-A1,17200,1036,1510,79
e145,CFM56-5-A1,17200,1315,1900,101
e145,CFM56-5-A1,17200,1594,2300,122
e145,CFM56-5-A1,17200,1873,2690,144
e145,CFM56-5-A1,17200,2152,3090,166
e145,CFM56-5-A1,17200,2431,3470,188
e145,CFM56-5-A1,17200,2710,3860,209
e145,CFM56-5-A1,17580,478,710,36
e145,CFM56-5-A1,17580,757,1110,58
e145,CFM56-5-A1,17580,1036,1510,79
e145,CFM56-5-A1,17580,1315,1910,101
e145,CFM56-5-A1,17580,1594,2310,122
e145,CFM56-5-A1,17580,1873,2700,144
e145,CFM56-5-A1,17580,2152,3100,166
e145,CFM56-5-A1,17580,2431,3480,188
e145,CFM56-5-A1,17580,2710,3870,209
e145,CFM56-5-A1,17970,478,710,36
e145,CFM56-5-A1,17970,757,1110,58
e145,CFM56-5-A1,17970,1036,1520,79
e145,CFM56-5-A1,17970,1315,1920,101
e145,CFM56-5-A1,17970,1594,2310,122
e145,CFM56-5-A1,17970,1873,2710,144
e145,CFM56-5-A1,17970,2152,3110,166
e145,CFM56-5-A1,17970,2431,3500,187
e145,CFM56-5-A1,17970,2710,3890,209
e145,CFM56-5-A1,18350,478,710,36
e145,CFM56-5-A1,18350,757,1120,57
e145,CFM56-5-A1,18350,1315,1920,101
e145,CFM56-5-A1,18350,1594,2320,122
e145,CFM56-5-A1,18350,1873,2720,144
e145,CFM56-5-A1,18350,2152,3120,166
e145,CFM56-5-A1,18350,2431,3510,187
e145,CFM56-5-A1,18350,2710,3900,209
e145,CFM56-5-A1,18730,478,720,36
e145,CFM56-5-A1,18730,757,1120,57
e145,CFM56-5-A1,18730,1036,1530,79
e145,CFM56-5-A1,18730,1315,1930,101
e145,CFM56-5-A1,18730,1594,2330,122
e145,CFM56-5-A1,18730,1873,2730,144
e145,CFM56-5-A1,18730,2152,3130,166
e145,CFM56-5-A1,18730,2431,3520,187
e145,CFM56-5-A1,18730,2710,3920,209
e145,CFM56-5-A1,19110,478,720,36
e145,CFM56-5-A1,19110,757,1130,57
e145,CFM56-5-A1,19110,1036,1530,79
e145,CFM56-5-A1,19110,1315,1940,100
e145,CFM56-5-A1,19110,1594,2340,122
e145,CFM56-5-A1,19110,1873,2750,143
e145,CFM56-5-A1,19110,2152,3150,165
e145,CFM56-5-A1,19110,2431,3540,187
e145,CFM56-5-A1,19110,2710,3930,208
e145,CFM56-5-A1,19490,478,720,36
e145,CFM56-5-A1,19490,757,1130,57
e145,CFM56-5-A1,19490,1036,1540,79
e145,CFM56-5-A1,19490,1315,1940,100
e145,CFM56-5-A1,19490,1594,2350,121
e145,CFM56-5-A1,19490,1873,2760,143
e145,CFM56-5-A1,19490,2152,3160,165
e145,CFM56-5-A1,19490,2431,3550,186
e145,CFM56-5-A1,19490,2710,3950,208
e145,CFM56-5-A1,19870,478,720,36
e145,CFM56-5-A1,19870,757,1130,57
e145,CFM56-5-A1,19870,1315,1950,99
e145,CFM56-5-A1,19870,1594,2360,121
e145,CFM56-5-A1,19870,1873,2770,142
e145,CFM56-5-A1,19870,2152,3170,164
e145,CFM56-5-A1,19870,2431,3570,186
e145,CFM56-5-A1,19870,2710,3960,208
e145,CFM56-5-A1,20250,1036,1550,78
e145,CFM56-5-A1,20250,1315,1960,99
e145,CFM56-5-A1,20250,1594,2370,121
e145,CFM56-5-A1,20250,1873,2780,142
e145,CFM56-5-A1,20250,2152,3180,164
e145,CFM56-5-A1,20250,2431,3580,185
e145,CFM56-5-A1,20250,2710,3980,207
e145,CFM56-5-A1,20640,1315,1960,99
e145,CFM56-5-A1,20640,1594,2380,120
e145,CFM56-5-A1,20640,1873,2790,142
e145,CFM56-5-A1,20640,2152,3190,163
e145,CFM56-5-A1,20640,2431,3590,185
e145,CFM56-5-A1,20640,2710,3990,207
e145,CFM56-5-A1,21020,1315,1970,98
e145,CFM56-5-A1,21020,1594,2380,120
e145,CFM56-5-A1,21020,1873,2800,141
e145,CFM56-5-A1,21020,2152,3200,163
e145,CFM56-5-A1,21020,2431,3610,184
e145,CFM56-5-A1,21020,2710,4010,206
e145,CFM56-5-A1,21400,1594,2390,120
e145,CFM56-5-A1,21400,1873,2800,141
e145,CFM56-5-A1,21400,2152,3210,162
e145,CFM56-5-A1,21400,2431,3620,185
e145,CFM56-5-A1,21400,2710,4020,206
e145,CFM56-5-A1,21780,1873,2810,141
e145,CFM56-5-A1,21780,2152,3220,162
e145,CFM56-5-A1,21780,2431,3630,184
e145,CFM56-5-A1,21780,2710,4030,205
e145,CFM56-5A3,14530,478,710,36
e145,CFM56-5A3,14530,757,1110,58
e145,CFM56-5A3,14530,1036,1500,79
e145,CFM56-5A3,14530,1315,1900,101
e145,CFM56-5A3,14530,1594,2290,122
e145,CFM56-5A3,14910,478,710,36
e145,CFM56-5A3,14910,757,1110,58
e145,CFM56-5A3,14910,1036,1510,79
e145,CFM56-5A3,14910,1315,1900,101
e145,CFM56-5A3,14910,1594,2300,122
e145,CFM56-5A3,14910,1873,2690,144
e145,CFM56-5A3,15290,478,710,36
e145,CFM56-5A3,15290,757,1110,58
e145,CFM56-5A3,15290,1036,1510,79
e145,CFM56-5A3,15290,1315,1910,101
e145,CFM56-5A3,15290,1594,2310,122
e145,CFM56-5A3,15290,1873,2700,144
e145,CFM56-5A3,15290,2152,3100,166
e145,CFM56-5A3,15680,478,720,36
e145,CFM56-5A3,15680,757,1120,58
e145,CFM56-5A3,15680,1036,1520,79
e145,CFM56-5A3,15680,1315,1910,101
e145,CFM56-5A3,15680,1594,2310,122
e145,CFM56-5A3,15680,1873,2710,144
e145,CFM56-5A3,15680,2152,3110,166
e145,CFM56-5A3,15680,2431,3500,188
e145,CFM56-5A3,16060,478,720,36
e145,CFM56-5A3,16060,757,1120,58
e145,CFM56-5A3,16060,1036,1520,79
e145,CFM56-5A3,16060,1315,1920,101
e145,CFM56-5A3,16060,1594,2320,122
e145,CFM56-5A3,16060,1873,2720,144
e145,CFM56-5A3,16060,2152,3120,166
e145,CFM56-5A3,16060,2431,3510,188
e145,CFM56-5A3,16060,2710,3900,210
e145,CFM56-5A3,16440,478,720,36
e145,CFM56-5A3,16440,757,1120,58
e145,CFM56-5A3,16440,1036,1520,79
e145,CFM56-5A3,16440,1315,1930,101
e145,CFM56-5A3,16440,1594,2330,122
e145,CFM56-5A3,16440,1873,2730,144
e145,CFM56-5A3,16440,2152,3130,166
e145,CFM56-5A3,16440,2431,3520,188
e145,CFM56-5A3,16440,2710,3910,209
e145,CFM56-5A3,16820,478,720,36
e145,CFM56-5A3,16820,757,1130,58
e145,CFM56-5A3,16820,1036,1530,79
e145,CFM56-5A3,16820,1315,1930,101
e145,CFM56-5A3,16820,1594,2340,122
e145,CFM56-5A3,16820,1873,2740,144
e145,CFM56-5A3,16820,2152,3140,166
e145,CFM56-5A3,16820,2431,3530,188
e145,CFM56-5A3,16820,2710,3920,209
e145,CFM56-5A3,17200,478,720,36
e145,CFM56-5A3,17200,757,1130,57
e145,CFM56-5A3,17200,1036,1530,79
e145,CFM56-5A3,17200,1315,1940,101
e145,CFM56-5A3,17200,1594,2340,122
e145,CFM56-5A3,17200,1873,2750,144
e145,CFM56-5A3,17200,2152,3150,166
e145,CFM56-5A3,17200,2431,3540,188
e145,CFM56-5A3,17200,2710,3940,209
e145,CFM56-5A3,17580,478,720,36
e145,CFM56-5A3,17580,757,1130,57
e145,CFM56-5A3,17580,1036,1540,79
e145,CFM56-5A3,17580,1315,1950,101
e145,CFM56-5A3,17580,1594,2350,122
e145,CFM56-5A3,17580,1873,2760,144
e145,CFM56-5A3,17580,2152,3160,166
e145,CFM56-5A3,17580,2431,3550,187
e145,CFM56-5A3,17580,2710,3950,209
e145,CFM56-5A3,17970,478,720,36
e145,CFM56-5A3,17970,757,1140,57
e145,CFM56-5A3,17970,1036,1540,79
e145,CFM56-5A3,17970,1315,1950,101
e145,CFM56-5A3,17970,1594,2360,122
e145,CFM56-5A3,17970,1873,2770,144
e145,CFM56-5A3,17970,2152,3170,166
e145,CFM56-5A3,17970,2431,3570,187
e145,CFM56-5A3,17970,2710,3960,209
e145,CFM56-5A3,18350,478,730,36
e145,CFM56-5A3,18350,757,1140,57
e145,CFM56-5A3,18350,1036,1550,79
e145,CFM56-5A3,18350,1315,1960,101
e145,CFM56-5A3,18350,1594,2370,122
e145,CFM56-5A3,18350,1873,2780,144
e145,CFM56-5A3,18350,2152,3180,166
e145,CFM56-5A3,18350,2431,3580,187
e145,CFM56-5A3,18350,2710,3980,209
e145,CFM56-5A3,18730,478,730,36
e145,CFM56-5A3,18730,757,1140,57
e145,CFM56-5A3,18730,1036,1550,79
e145,CFM56-5A3,18730,1315,1970,100
e145,CFM56-5A3,18730,1594,2380,122
e145,CFM56-5A3,18730,1873,2790,144
e145,CFM56-5A3,18730,2152,3200,165
e145,CFM56-5A3,18730,2431,3600,187
e145,CFM56-5A3,18730,2710,4000,209
e145,CFM56-5A3,19110,478,730,36
e145,CFM56-5A3,19110,757,1150,57
e145,CFM56-5A3,19110,1036,1560,78
e145,CFM56-5A3,19110,1315,1980,100
e145,CFM56-5A3,19110,1594,2390,121
e145,CFM56-5A3,19110,1873,2800,143
e145,CFM56-5A3,19110,2152,3210,165
e145,CFM56-5A3,19110,2431,3610,187
e145,CFM56-5A3,19110,2710,4010,208
e145,CFM56-5A3,19490,757,1150,57
e145,CFM56-5A3,19490,1036,1570,78
e145,CFM56-5A3,19490,1315,1980,100
e145,CFM56-5A3,19490,1594,2400,121
e145,CFM56-5A3,19490,1873,2810,142
e145,CFM56-5A3,19490,2152,3220,164
e145,CFM56-5A3,19490,2431,3630,186
e145,CFM56-5A3,19490,2710,4030,208
e145,CFM56-5A3,19870,757,1150,57
e145,CFM56-5A3,19870,1036,1580,78
e145,CFM56-5A3,19870,1315,1990,99
e145,CFM56-5A3,19870,1594,2410,121
e145,CFM56-5A3,19870,1873,2820,142
e145,CFM56-5A3,19870,2152,3230,164
e145,CFM56-5A3,19870,2431,3640,185
e145,CFM56-5A3,19870,2710,4040,207
e145,CFM56-5A3,20250,757,1160,56
e145,CFM56-5A3,20250,1036,1580,78
e145,CFM56-5A3,20250,1315,2000,99
e145,CFM56-5A3,20250,1594,2410,120
e145,CFM56-5A3,20250,1873,2830,142
e145,CFM56-5A3,20250,2152,3240,164
e145,CFM56-5A3,20250,2431,3650,185
e145,CFM56-5A3,20250,2710,4060,207
e145,CFM56-5A3,20640,1036,1580,77
e145,CFM56-5A3,20640,1315,2000,99
e145,CFM56-5A3,20640,1594,2420,120
e145,CFM56-5A3,20640,1873,2840,141
e145,CFM56-5A3,20640,2152,3250,163
e145,CFM56-5A3,20640,2431,3660,185
e145,CFM56-5A3,20640,2710,4070,206
e145,CFM56-5A3,21020,1594,2430,120
e145,CFM56-5A3,21020,1873,2850,141
e145,CFM56-5A3,21020,2152,3260,163
e145,CFM56-5A3,21020,2431,3670,184
