ac,eng,mass,distance,fuel,time
b3xm,CFM56-5-A1,54000,2827,7130,211
b3xm,CFM56-5-A1,54000,3352,8410,249
b3xm,CFM56-5-A1,55850,1250,3280,97
b3xm,CFM56-5-A1,55850,1776,4620,135
b3xm,CFM56-5-A1,55850,2301,5940,173
b3xm,CFM56-5-A1,55850,2827,7250,211
b3xm,CFM56-5-A1,55850,3352,8550,249
b3xm,CFM56-5-A1,55850,3878,9820,288
b3xm,CFM56-5-A1,57690,1250,3330,96
b3xm,CFM56-5-A1,57690,1776,4690,134
b3xm,CFM56-5-A1,57690,2301,6040,173
b3xm,CFM56-5-A1,57690,2827,7380,210
b3xm,CFM56-5-A1,57690,3352,8690,249
b3xm,CFM56-5-A1,57690,3878,9980,288
b3xm,CFM56-5-A1,57690,4403,11240,328
b3xm,CFM56-5-A1,57690,4929,12570,367
b3xm,CFM56-5-A1,59540,1250,3390,96
b3xm,CFM56-5-A1,59540,1776,4770,134
b3xm,CFM56-5-A1,59540,2301,6150,172
b3xm,CFM56-5-A1,59540,2827,7530,211
b3xm,CFM56-5-A1,59540,3352,8840,249
b3xm,CFM56-5-A1,59540,3878,10150,288
b3xm,CFM56-5-A1,59540,4403,11460,327
b3xm,CFM56-5-A1,59540,4929,12850,366
b3xm,CFM56-5-A1,61390,1250,3440,97
b3xm,CFM56-5-A1,61390,1776,4850,135
b3xm,CFM56-5-A1,61390,2301,6250,172
b3xm,CFM56-5-A1,61390,2827,7670,211
b3xm,CFM56-5-A1,61390,3352,8990,249
b3xm,CFM56-5-A1,61390,3878,10310,288
b3xm,CFM56-5-A1,61390,4403,11730,327
b3xm,CFM56-5-A1,61390,4929,13150,366
b3xm,CFM56-5-A1,63240,1250,3500,97
b3xm,CFM56-5-A1,63240,1776,4940,134
b3xm,CFM56-5-A1,63240,2301,6370,171
b3xm,CFM56-5-A1,63240,2827,7790,210
b3xm,CFM56-5-A1,63240,3352,9140,248
b3xm,CFM56-5-A1,63240,3878,10530,288
b3xm,CFM56-5-A1,63240,4403,12010,327
b3xm,CFM56-5-A1,63240,4929,13490,366
b3xm,CFM56-5-A1,65080,1776,5020,134
b3xm,CFM56-5-A1,65080,2301,6500,172
b3xm,CFM56-5-A1,65080,2827,7910,209
b3xm,CFM56-5-A1,65080,3352,9270,248
b3xm,CFM56-5-A1,65080,3878,10750,288
b3xm,CFM56-5-A1,65080,4403,12320,326
b3xm,CFM56-5-A1,65080,4929,13870,365
b3xm,CFM56-5-A1,66930,1776,5100,134
b3xm,CFM56-5-A1,66930,2301,6600,171
